Date,Close,High,Low,Open,Volume,Symbol,Start_Date,End_Date
,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,,,
2015-01-01,486.962890625,487.88252227531495,483.09080711487843,486.57568818231834,1351985,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-02,497.85308837890625,500.3699779228175,485.6560498647172,487.1080810727541,3852825,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-05,500.9991455078125,503.7580401953052,498.6274827676766,500.3699674474825,2561430,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-06,483.0907897949219,497.12709201587757,480.8643536730861,497.12709201587757,5284530,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-07,482.7035827636719,489.189334165417,478.6863022125841,482.8487799803808,4245189,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-08,485.8981018066406,490.7865955272826,478.8315315227745,489.8185746288067,5637844,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-09,479.1219482421875,489.7217591945561,471.42617039949755,488.7537383107789,5078463,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-12,485.5108337402344,487.6888805999752,476.4114438789807,479.17030914298266,2290147,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-13,488.3665466308594,495.3363089643537,484.3008470127121,487.8825361783015,4069260,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-14,483.62322998046875,489.5765523908806,478.39592321868406,488.36652630983536,2973231,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-15,497.6110534667969,507.1944825009645,494.7554099864828,506.7104721271843,6670800,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-16,498.337158203125,504.8229101890418,496.2075003607378,500.07958404387523,6920742,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-19,512.0346069335938,514.7934425423255,500.3215199647275,502.838409460088,6113156,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-20,533.7667236328125,536.9611806409582,514.115852989329,515.5194950471927,6934581,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-21,529.7494506835938,538.9940386915613,528.1038032960557,535.3155709968522,4459351,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-22,546.689697265625,549.0129706084385,530.281734375655,532.1209973623237,5546866,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-23,547.0769653320312,558.9352198411159,542.3820291172303,552.7398632397847,4975114,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-27,573.1651611328125,578.6828921745491,548.8678597574716,552.6431649658462,5376830,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-28,571.7130737304688,580.6188771078248,564.7917603044746,571.1322848707007,6370073,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-29,580.3284912109375,582.7485433010581,563.4849050303765,570.1158832072889,5424486,AXISBANK.NS,2015-01-01,2025-01-01
2015-01-30,569.2930908203125,584.7330366202009,565.0338341369942,583.4746212156593,4497194,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-02,597.5592041015625,601.1408927348388,565.7113565064914,567.2601660911683,6307718,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-03,567.8410034179688,605.5938163313685,565.8081832790301,603.0769857704632,9290016,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-04,540.7363891601562,573.0683071495488,535.5575015717701,572.1002863604449,10773056,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-05,547.8030395507812,560.0000790037993,540.7364398610982,544.4149664712422,6865785,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-06,545.1409912109375,553.2239420591438,528.2974039873627,549.8358689231736,7706020,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-09,535.8963623046875,551.3846971583872,532.4115105959285,537.2516152377096,4334546,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-10,536.38037109375,551.5783114381414,523.2153101425431,529.4106676979984,9809275,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-11,551.0458984375,554.3371931374675,537.735611035628,541.4624678748294,6200994,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-12,560.2420043945312,562.9040614348509,545.9636984509989,554.6758851284085,5849894,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-13,562.5169677734375,569.9223519028244,558.0640948993262,563.5334370689582,4633409,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-16,552.0623168945312,565.3242152679934,547.9966172283396,564.3561943514386,4284303,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-18,551.2879028320312,555.6439968842598,545.9637878793075,553.7079550832693,4695905,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-19,547.1737670898438,557.1927589176108,535.5575172798868,555.6439492429373,5349212,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-20,543.5436401367188,552.546221113063,536.2834846584901,548.3353545690089,6025707,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-23,531.4918823242188,548.8678699169097,528.5878195204256,545.4797966458176,6089272,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-24,534.1538696289062,537.9291744105371,524.6672775344274,532.3146655450947,6155111,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-25,535.3154907226562,540.7363834510849,532.5082068305738,536.4771274739766,4185156,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-26,534.637939453125,539.816886797539,526.4097616769287,534.976782223306,5579001,AXISBANK.NS,2015-01-01,2025-01-01
2015-02-27,549.0130615234375,552.1106810490853,532.7502635972606,537.8323731783646,5791546,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-02,626.8419189453125,629.2135819554984,608.5947487019257,609.8531640491753,13205219,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-03,611.2083740234375,628.2455169515135,608.4494792155026,628.2455169515135,6817671,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-04,593.15478515625,633.9568882580924,588.7019128096147,630.0848047972601,10097232,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-05,597.0751953125,602.1089151010658,584.2005309702463,593.396728226613,6914112,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-09,572.6810913085938,590.4926979624203,570.3094875752222,590.4926979624203,6043383,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-10,566.7278442382812,575.7788159643269,561.452118549047,572.9715908215655,5791801,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-11,565.178955078125,573.7459751330513,561.4520984030814,566.5342079144887,5816344,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-12,565.4210205078125,574.5204411877498,564.065826610431,568.712315413316,4512080,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-13,551.7718505859375,572.051897963607,546.0605042886577,570.6482560007196,6749149,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-16,550.4165649414062,555.4502845677536,541.2203679813994,551.287807234094,6445254,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-17,561.5487670898438,567.0664967260542,548.916109161739,556.5151068719746,5627580,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-18,562.662109375,567.0665923500061,557.3379947916667,565.566171875,5847672,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-19,545.5281982421875,576.5048688515091,540.639704228316,569.1963224462844,7705218,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-20,538.4615478515625,545.9637087429776,534.0570652093915,544.995687982795,8160665,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-23,537.4451904296875,544.0277204260104,534.9767490664794,541.9949002641459,4191424,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-24,540.2040405273438,547.899818343709,533.6215103568367,536.2351785507558,6309451,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-25,544.2213745117188,549.0130898953325,536.1868126706626,541.9464898935847,5578540,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-26,526.893798828125,543.4953819921458,520.3112680903419,542.0917397778446,9233047,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-27,528.9265747070312,533.6214518290327,509.27570572224334,530.4753843125804,10655577,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-30,545.5281982421875,547.3674616929401,531.782288842639,534.8315784890682,6631597,AXISBANK.NS,2015-01-01,2025-01-01
2015-03-31,542.2853393554688,555.1600059684145,539.429665781864,549.7391123682191,5970862,AXISBANK.NS,2015-01-01,2025-01-01
2015-04-01,551.4330444335938,553.7078695650963,537.4935219860484,539.8651846426284,3753262,AXISBANK.NS,2015-01-01,2025-01-01
2015-04-06,550.852294921875,553.6595792344739,544.1245376841908,553.6595792344739,4305263,AXISBANK.NS,2015-01-01,2025-01-01
2015-04-07,540.0104370117188,554.675977322952,537.2516010719693,552.7399355172873,6754389,AXISBANK.NS,2015-01-01,2025-01-01
