Date,Close,High,Low,Open,Volume,Symbol,Start_Date,End_Date
,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,,,
2015-01-01,1845.359375,1849.9876526031421,1827.5240350641095,1829.4430680348062,72928,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-02,1845.0582275390625,1863.6084488615345,1830.195415264607,1849.0091016879685,164726,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-05,1851.79345703125,1867.2206796193034,1843.7412361332101,1845.2463310198495,118873,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-06,1837.3446044921875,1858.716878643076,1828.6903087921423,1846.977248625545,580496,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-07,1841.6341552734375,1863.0066139298494,1830.2331344488227,1837.7209451251235,189191,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-08,1844.0423583984375,1855.0296256151587,1833.2810759092597,1841.9728527309155,4301348,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-09,1787.9400634765625,1857.9644618439386,1768.486636978828,1847.5041250140523,245974,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-12,1756.4459228515625,1803.103869388322,1748.2432283223595,1794.8258466156713,203022,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-13,1748.99560546875,1772.362056855188,1741.2443299730555,1760.961036456273,161658,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-14,1778.6083984375,1783.462293193393,1744.6309514188274,1744.6309514188274,217775,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-15,1819.6221923828125,1834.2217241313244,1774.3188695908682,1791.1383797207307,726566,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-16,1821.27783203125,1837.7210690598768,1801.4483148435736,1821.1650233926707,270014,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-19,1809.0489501953125,1821.2403672732296,1805.7378145244127,1821.2403672732296,368777,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-20,1809.3125,1819.3590835772793,1787.4886204117709,1811.3820058230217,197434,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-21,1841.2198486328125,1848.6325133129064,1805.6996514567043,1821.1645358099872,201858,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-22,1839.4517822265625,1874.783848516853,1834.7860247479375,1847.6921401188172,748394,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-23,1837.3446044921875,1861.802396687967,1821.164834270364,1859.4694260952538,356732,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-27,1821.052001953125,1836.1780953086784,1796.518881840321,1827.3356628606216,507659,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-28,1805.2110595703125,1816.9506908529784,1793.5465728045194,1816.9506908529784,963742,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-29,1809.6507568359375,1818.7566541728384,1788.2784834488198,1803.6303774336623,391136,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-01-30,1799.86767578125,1818.3050880641053,1786.6980955792105,1810.967750522969,261718,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-02-02,1767.959716796875,1822.10546772419,1749.6727774739254,1798.5883605000781,444651,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-02-03,1701.3216552734375,1782.0323696505584,1698.1233285964886,1768.5241796075145,727453,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-02-04,1689.69482421875,1717.162806111047,1678.444276600126,1717.162806111047,399841,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-02-05,1689.69482421875,1708.2827094661386,1685.7439501109538,1695.4894028313702,272367,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-02-06,1673.138916015625,1699.1018051150809,1520.823281592743,1685.7440868102883,296601,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
2015-02-09,1707.642822265625,1711.8571611053837,1651.879171368787,1663.1297180098463,274052,BAJAJ-AUTO.NS,2015-01-01,2025-01-01
