Date,Close,High,Low,Open,Volume,Symbol,Start_Date,End_Date
,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,,,
2015-01-01,158.74319458007812,160.1633518080072,158.11665912548463,159.97538607287058,540225,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-02,159.45326232910156,161.47906271029768,158.7014249335772,158.93114948584974,969551,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-05,158.8267364501953,161.22845567330808,157.46924297626202,159.14000417494915,1857013,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-06,158.701416015625,159.59944750617566,156.09085194606212,156.21615392264317,4644316,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-07,156.50851440429688,160.5809936296212,155.61047032632666,158.72226724340842,2628276,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-08,158.4925537109375,160.81072925468266,157.5945095708316,160.68542729168317,1779075,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-09,156.65475463867188,159.9753978921104,155.75672297011914,159.55770755818847,1442177,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-12,149.47047424316406,156.59208865643308,148.6977446499578,156.59208865643308,3794388,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-13,150.8697509765625,151.37097172004482,149.55401625104068,149.74198199665727,1654914,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-14,151.70513916015625,152.41520510206266,150.49382695609052,151.99751475497732,1186130,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-15,153.89804077148438,155.27641406251942,151.24570404780175,153.71007498320685,2278050,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-16,158.3254852294922,158.97291276948718,152.20632557518073,153.39674534507287,2086327,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-19,158.38816833496094,160.35130511511986,156.25794523572765,158.30462517542375,1720402,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-20,159.6829833984375,160.66455807172034,158.26283904514727,160.66455807172034,1371798,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-21,163.67198181152344,164.36116840539367,159.16091795301992,159.8083457054246,2579948,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-22,165.57241821289062,166.0736516287898,163.33777274959093,164.8205808359371,1632779,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-23,164.8623504638672,167.07610373965963,163.14981785115666,166.2407232209613,1892706,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-27,159.8291778564453,164.86235321369054,158.3046109337709,163.6928128198685,2619631,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-28,160.3095245361328,162.3562171078312,158.93115170942175,159.7247606928886,2589117,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-29,156.61294555664062,158.59697400623375,152.12277590756142,152.45692296873557,11218814,COALINDIA.NS,2015-01-01,2025-01-01
2015-01-30,150.7235565185547,152.12282165847515,150.3893966099887,151.2038978435401,14790368,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-02,148.32180786132812,149.1154167737704,146.25423605940455,147.96676860534498,25950717,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-03,148.96923828125,150.34762387622925,147.69528800489718,148.30093127279608,7690620,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-04,152.8955535888672,154.04420209696983,149.15723245609036,149.1990040421283,15177656,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-05,154.50363159179688,156.61297514805256,152.97906462342718,153.04171561587333,9382752,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-06,152.03927612304688,154.64984061691788,149.9925961092314,154.12772771814366,3576894,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-09,150.63998413085938,151.37094205874075,149.53310753230366,150.76529885234726,2498414,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-10,153.77267456054688,154.12771384914493,149.55400016868435,149.55400016868435,5296191,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-11,155.4225616455078,157.42746996696275,154.1277191789074,154.1277191789074,27184800,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-12,154.02328491210938,156.50854708266965,152.45694642147774,155.52697241249479,4759855,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-13,157.82427978515625,158.68053978718737,151.6215763837159,151.7468783728779,16984215,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-16,157.49009704589844,160.3303982746839,156.6756087407607,157.74071373474632,4307836,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-18,158.86849975585938,160.68545501418603,157.51100635262273,157.7198514915822,5508230,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-19,160.37220764160156,162.89922904468975,156.98891341206314,158.9102914835082,6011878,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-20,159.8709716796875,160.81077490967914,157.5945543127267,159.3906303559601,5970211,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-23,160.4766082763672,161.56259279062007,159.6412277288523,160.74810440493042,4701758,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-24,160.4766082763672,163.00362933384147,159.89183169559033,161.64613594412978,4510109,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-25,161.47906494140625,162.81566619046095,160.33041667038177,161.98028562971587,3296025,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-26,160.53924560546875,161.62524277419416,158.0957551625602,161.0404662431843,10641810,COALINDIA.NS,2015-01-01,2025-01-01
2015-02-27,165.09210205078125,166.24075045214659,160.78989677351723,161.39554010064427,24773100,COALINDIA.NS,2015-01-01,2025-01-01
2015-03-02,164.8832244873047,166.32426093370336,161.27020641143935,164.90410390083147,8425861,COALINDIA.NS,2015-01-01,2025-01-01
2015-03-03,167.35174560546875,168.3876408509039,164.4203927680292,164.6407954393,5328335,COALINDIA.NS,2015-01-01,2025-01-01
2015-03-04,163.7812042236328,168.38762500051334,163.09796138793178,168.38762500051334,4497793,COALINDIA.NS,2015-01-01,2025-01-01
2015-03-05,160.4311065673828,165.39016657108567,159.57153078581652,163.97958412244128,4971903,COALINDIA.NS,2015-01-01,2025-01-01
2015-03-09,157.49974060058594,162.72328650370113,156.97078227069136,159.5274478292932,4555473,COALINDIA.NS,2015-01-01,2025-01-01
2015-03-10,163.40652465820312,163.8913997102345,157.87441025574134,158.24909743874628,4533632,COALINDIA.NS,2015-01-01,2025-01-01
2015-03-11,162.78941345214844,163.40655171566686,161.3347611505681,162.65717722557275,3136497,COALINDIA.NS,2015-01-01,2025-01-01
