Date,Close,High,Low,Open,Volume,Symbol,Start_Date,End_Date
,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,,,
2017-11-17,336.698486328125,360.5389995778372,299.9606310850841,302.89184246376567,168836552,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-11-20,347.20196533203125,350.6705532522589,336.1122105607222,336.7961717535267,14650240,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-11-21,376.4652099609375,409.29478108266187,344.4173130431959,348.2278816069179,43078194,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-11-22,386.1382141113281,398.64470265980145,378.02851231848774,379.1032956666739,15227642,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-11-23,366.2548828125,383.01163592045486,362.590868438261,381.0574949208607,12300150,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-11-24,362.20001220703125,374.21796629944043,357.7054823662411,367.4273150360683,9463228,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-11-27,371.62872314453125,375.6835592377594,362.49310917349476,362.49310917349476,3832223,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-11-28,373.43634033203125,377.54001835787426,369.43034549756095,374.2179847699564,2409447,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-11-29,369.1371765136719,375.8789859694154,367.4761747634189,373.63170621156036,1657909,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-11-30,362.9816589355469,371.0913314476238,362.29769771836425,371.0913314476238,2536960,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-12-01,364.2030334472656,370.84710100354624,359.5619485140007,365.13126236104887,1904781,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-12-04,354.4811096191406,366.30366676988734,353.69946526943033,365.4731510121823,1323453,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-12-05,354.0414733886719,357.510061459774,348.96069526695027,352.7224223553573,1806017,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-12-06,359.9039001464844,363.1770920623031,350.3285920074054,352.6247134897155,3331373,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-12-07,379.39642333984375,380.95974193906915,361.56488858933574,361.56488858933574,3350792,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-12-08,380.37353515625,386.72449343018263,376.7583921833221,381.05749643595755,2494845,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-12-11,372.06842041015625,383.2558891394443,370.3585470997827,378.12626920832366,1029719,HDFCLIFE.NS,2015-01-01,2025-01-01
2017-12-12,374.9996032714844,378.1262404425828,368.40437814748583,372.16610510770124,2564559,HDFCLIFE.NS,2015-01-01,2025-01-01
