Date,Close,High,Low,Open,Volume,Symbol,Start_Date,End_Date
,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,,,
2015-01-01,2263.63916015625,2274.281703415123,2247.3110550092388,2267.7212754245024,112464,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-02,2258.31787109375,2273.5525702575087,2252.814365829642,2270.6368247361784,187675,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-05,2273.843505859375,2293.8892513132205,2258.317307205475,2262.6179595903973,160068,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-06,2197.3056640625,2258.244814157824,2187.5379881496547,2258.244814157824,457760,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-07,2167.893310546875,2202.845774923699,2162.535556884616,2197.0142837922003,378882,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-08,2175.146240234375,2186.5905062408656,2151.638041089751,2170.7726217888635,513335,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-09,2181.15966796875,2194.827223745979,2162.207323957659,2185.970718787521,365342,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-12,2140.9951171875,2178.0615980993744,2131.4096763194684,2178.0615980993744,396343,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-13,2108.958251953125,2159.510050375029,2104.8398334643666,2151.090801378198,387266,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-14,2116.138671875,2131.920072409386,2101.523462703768,2120.4758074940205,503348,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-15,2150.76318359375,2164.940960012008,2134.799370747189,2143.072869506836,548030,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-16,2112.23876953125,2164.9409018248325,2107.5736482007214,2150.653678560261,441344,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-19,2071.12744140625,2128.4947119191374,2067.264042124203,2113.952463435445,494968,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-20,2061.9052734375,2090.5889835709017,2038.980265957108,2084.75749407698,620515,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-21,2095.801513671875,2109.5420366159574,2065.732885817553,2065.732885817553,502824,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-22,2069.3408203125,2120.475628938255,2049.4773067722567,2113.878720041472,616241,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-23,2086.79833984375,2110.7074799422153,2078.1968581179526,2092.0466442646525,616170,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-27,2083.117431640625,2091.791701260811,2057.7868986165636,2084.7575380954204,563105,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-28,2088.4755859375,2110.6351795627775,2070.5801631377676,2084.7579394058175,415685,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-29,2096.784912109375,2113.0037420396493,2082.570656664865,2084.75746519479,544345,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-01-30,2088.767333984375,2140.7770192961775,2082.862877733648,2104.840417810914,447643,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-02-02,2065.222412109375,2105.751343979384,2048.3111245385203,2097.8423134699083,298183,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-02-03,2050.060546875,2084.757988782587,2034.4613799623078,2082.9356478833015,377426,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-02-04,2062.525634765625,2087.673941674766,2004.5751884097785,2019.1539170527587,902976,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-02-05,2075.50048828125,2083.1543198947893,2049.040063396133,2049.040063396133,475877,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-02-06,2023.74560546875,2079.6184939532814,2020.0644420701344,2075.427110807804,544388,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-02-09,1989.1217041015625,2015.4726840438216,1971.772982012881,2004.5751203458124,425252,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-02-10,1982.8162841796875,2006.0329797857316,1961.3491427175288,1979.0623328918102,531510,HEROMOTOCO.NS,2015-01-01,2025-01-01
2015-02-11,2007.0167236328125,2015.7274763514604,1969.2577897538479,1983.8729973665506,427723,HEROMOTOCO.NS,2015-01-01,2025-01-01
