Date,Close,High,Low,Open,Volume,Symbol,Start_Date,End_Date
,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,,,
2015-01-01,764.6309814453125,767.1734851199142,751.8243771597118,756.5326960109761,819116,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-02,768.303466796875,775.3188156650523,764.6309552289675,768.3976101808344,640249,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-05,771.3167724609375,773.8592761396156,764.67805436493,770.2809653018368,336910,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-06,751.8243408203125,768.3975993858567,746.1272293059761,768.3975993858567,485801,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-07,745.7506103515625,758.5101425330217,740.665603165973,753.4251353474323,737973,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-08,752.10693359375,757.5685724658929,742.4548790657508,753.3310851121371,623621,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-09,755.2144165039062,763.5010469855875,745.3740176617719,757.0977442258612,544145,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-12,781.06298828125,790.2442096010001,750.5059889067529,757.9922270162369,896776,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-13,777.343505859375,799.6138788353741,772.2114263972429,795.7059508796752,3264664,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-14,769.009765625,784.311802382266,763.7834855528406,783.1817943268101,1238612,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-15,781.9105834960938,799.4726379316656,776.8727047039154,791.4684949135041,1493767,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-16,783.3229370117188,788.9729192921892,765.8550866228494,783.1817219394621,1160723,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-19,780.7806396484375,788.9259978358061,778.7560392892229,786.2893504310775,612731,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-20,791.42138671875,795.235113780147,774.612652670964,781.5809880846915,1318766,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-21,793.3988037109375,809.3600162238844,790.4796689924639,795.7058914591998,1462665,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-22,796.8829956054688,802.109218232393,788.7375806959992,789.5851011110021,553285,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-23,807.33544921875,813.5504648857293,801.3559069802408,803.2392346112167,1179588,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-27,812.8912353515625,819.2474656888032,801.7325428604665,807.0058368911544,840924,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-28,818.0704956054688,828.6642142535972,808.1359531681443,809.7838649578532,925540,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-29,824.9444580078125,827.6753056783836,812.6086867501903,813.1265902809289,687051,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-01-30,819.435791015625,833.1840585118856,815.7162077796046,825.8390928977931,888368,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-02,823.5320434570312,826.6395224215958,806.1583353022717,814.6333092826816,666544,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-03,811.1021118164062,837.8924591042529,807.2413131278273,825.4624851324743,1013403,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-04,812.9382934570312,821.4132670983697,801.5912569099355,814.162444821417,907333,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-05,814.9158325195312,831.8186508581573,801.3558515250395,811.6200093934001,704581,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-06,795.9884643554688,817.6467335434007,791.4684892372554,813.409246093588,465226,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-09,777.013916015625,789.8205208451529,772.6351563081347,789.8205208451529,573650,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-10,791.7509155273438,802.2504899399922,768.1151770183021,768.1151770183021,1050019,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-11,805.5934448242188,812.8442681544944,794.7643102649218,794.7643102649218,787344,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-12,819.2005004882812,823.9088198686673,797.2126144971174,807.8534622764713,507508,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-13,824.2853393554688,826.4512119569458,813.5504071060772,821.9783091510508,700753,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-16,812.561767578125,828.0050203934547,805.1226000961681,821.6017176419961,420397,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-18,814.39794921875,819.1062684198172,802.8625671761354,811.5258860010189,503192,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-19,807.4767456054688,819.7183755680006,793.3047162591498,817.3642159598214,621565,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-20,825.6508178710938,829.9825058858293,801.0263437017452,807.1000293021431,1207981,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-23,816.9403686523438,827.2515981319464,807.8533480181776,824.8974387747126,596633,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-24,813.7387084960938,816.4224270484582,804.8399750454571,815.0099314999314,505014,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-25,808.4653930664062,822.2607898572144,805.1224982819089,814.5391356887147,617078,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-26,795.9884643554688,809.8309348531109,790.1030651196177,806.2526236126338,1152143,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-02-27,814.0682983398438,817.1757771682583,788.6904492043714,795.6587838283496,1063550,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-02,889.4014892578125,894.4864969400737,860.6807423839498,871.039044535179,1263167,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-03,883.845703125,889.8723750037553,871.980761114791,889.8723750037553,617171,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-04,855.2190551757812,906.3984585502402,850.4165354204089,903.9030840218352,996972,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-05,859.9273681640625,864.3060702195062,841.0470210286527,856.7256883491311,739059,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-09,842.9774780273438,856.9140913142379,838.5516465003614,855.0307636410198,1121892,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-10,844.43701171875,860.2569520463843,836.715357072346,845.6140914674519,949910,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-11,838.2691650390625,852.2057784289474,833.4666449521063,845.708274918489,661190,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-12,839.7758178710938,849.8516326562318,836.9508262943971,840.9058259966926,678466,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-13,824.1441040039062,844.9548493463916,814.7745384408154,842.789034272788,789147,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-16,826.0745239257812,836.9507287333336,815.7162226853326,824.1911964275179,637728,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-17,850.4638061523438,855.7841729020024,829.4175827137169,830.6417343346805,578263,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-18,850.5107421875,867.1782026784985,843.7307514399384,854.465741579794,1120286,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-19,829.7470703125,865.3890217210757,823.955815022787,865.3890217210757,1142631,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-20,834.6437377929688,842.695009760908,823.2496280976711,836.1975061489643,751604,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-23,836.527099609375,841.8475236153536,830.1237966069976,836.1975402353847,955973,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-24,833.2312622070312,844.1545977126251,827.3458629501172,833.372534779038,704010,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-25,820.2362060546875,837.9394732348533,813.8329039862779,835.7265863903056,715430,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-26,810.1604614257812,827.6283716303807,803.2863268914874,814.068389350037,2107203,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-27,829.3704223632812,835.7266532471326,801.2617798889779,810.7725616290493,1088061,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-30,836.150390625,838.0807899383655,824.9916400045452,834.3612063982139,411951,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-03-31,834.314208984375,841.9416635258809,826.3100658959245,839.0225284481695,583298,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-01,871.2744140625,874.4760939102823,829.1349598292692,832.5249264537242,954252,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-06,861.5753173828125,872.9223548369603,858.1852931705315,871.9806910237596,573759,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-07,854.0420532226562,866.8015870890137,847.6858221386249,861.6695075336534,738125,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-08,849.3336791992188,861.7636529023501,847.5444949824403,861.7636529023501,456811,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-09,888.8366088867188,892.556135440452,848.4392031921665,855.0308507197416,1086130,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-10,890.1077880859375,895.9461156730376,881.0207085977847,893.0740523161601,761095,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-13,894.34521484375,899.1948065163432,885.6348244912313,892.6973031554357,847695,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-15,891.331787109375,910.5888217741818,883.5159896893756,898.2059208046857,862700,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-16,879.9378051757812,903.0556414360809,873.8169900878412,899.2889859973486,3431738,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-17,824.8975219726562,881.397352244756,822.2138030245713,881.397352244756,2706290,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-20,794.52880859375,829.8412000868055,781.580931712963,823.6733138676043,1937207,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-21,788.9259643554688,809.8309133818744,784.6884770180054,799.4726110014086,1671993,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-22,796.8829956054688,802.2975624884601,772.164320704856,790.9975968196085,1350387,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-23,808.65380859375,819.1533832177325,800.5555226998558,804.934224995255,1373721,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-24,782.0987548828125,813.0324411350799,776.1192135279387,813.0324411350799,1042505,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-27,775.0364990234375,785.3477307239064,763.265699702036,785.3477307239064,1087851,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-28,779.4151611328125,786.5717832284483,759.0751879840705,770.4222830795362,1528666,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-29,784.5001831054688,792.88101492288,770.328152706578,780.4510397735862,1119768,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-04-30,775.7427368164062,786.6660729282772,772.2114970662636,781.6752081017247,1960263,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-05-04,792.5985107421875,799.9434776173854,778.944384284916,779.6977039048794,868300,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-05-05,787.7489013671875,796.600564762149,783.0876537014855,790.8563806527884,672307,INDUSINDBK.NS,2015-01-01,2025-01-01
2015-05-06,756.1090087890625,790.0559794878702,752.3894250426797,788.1726517656107,985312,INDUSINDBK.NS,2015-01-01,2025-01-01
