Date,Close,High,Low,Open,Volume,Symbol,Start_Date,End_Date
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,,
2015-01-01,380.63446044921875,382.0996207869467,377.2607251496367,379.58376876450586,2002764,INFY.NS,2015-01-01,2025-01-01
2015-01-02,388.11456298828125,389.2423735139931,380.17183428172484,380.17183428172484,6778320,INFY.NS,2015-01-01,2025-01-01
2015-01-05,384.77935791015625,391.35331780304267,381.2321113081364,387.47834630879794,9937024,INFY.NS,2015-01-01,2025-01-01
2015-01-06,376.7402648925781,382.67804958408516,372.8652928754928,381.7141250259388,9667316,INFY.NS,2015-01-01,2025-01-01
2015-01-07,378.5427551269531,380.7019363387685,375.93051062696475,378.8222837856337,7249916,INFY.NS,2015-01-01,2025-01-01
2015-01-08,380.4513244628906,384.99141794866944,375.9305282923913,382.79366553814396,13564920,INFY.NS,2015-01-01,2025-01-01
2015-01-09,399.9226379394531,406.58336584010704,368.8071730076435,381.7333868059005,44863328,INFY.NS,2015-01-01,2025-01-01
2015-01-12,407.9232482910156,408.54979929058516,400.0287151097661,403.306058799822,12758888,INFY.NS,2015-01-01,2025-01-01
2015-01-13,402.70831298828125,406.35197542390785,400.02862200965995,406.35197542390785,8801236,INFY.NS,2015-01-01,2025-01-01
2015-01-14,410.3715515136719,411.2101846409258,403.42169364127795,404.55910570510207,9921260,INFY.NS,2015-01-01,2025-01-01
2015-01-15,411.4511413574219,415.02731039224346,407.2098738817919,411.63427758509056,8342452,INFY.NS,2015-01-01,2025-01-01
2015-01-16,408.376220703125,416.41534078552127,407.161666545843,414.1019222256017,6690960,INFY.NS,2015-01-01,2025-01-01
2015-01-19,405.3301696777344,411.0848165970708,403.8071881046406,408.70390474045035,4087744,INFY.NS,2015-01-01,2025-01-01
2015-01-20,409.513671875,411.2101883946886,405.1278154352536,406.1977810349784,6804504,INFY.NS,2015-01-01,2025-01-01
2015-01-21,418.3238830566406,419.49024096823365,408.3183668320224,410.9209626546061,8494908,INFY.NS,2015-01-01,2025-01-01
2015-01-22,423.4423828125,424.7051333167123,416.66601242622136,419.2686085677446,9958396,INFY.NS,2015-01-01,2025-01-01
2015-01-23,427.0281982421875,428.9463985662711,417.39860198882263,424.1267761104703,9486328,INFY.NS,2015-01-01,2025-01-01
2015-01-27,411.885009765625,428.1753366203853,410.65120501984705,428.1753366203853,13739968,INFY.NS,2015-01-01,2025-01-01
2015-01-28,413.43682861328125,415.41287365620383,410.6896440414133,414.487496808145,13134356,INFY.NS,2015-01-01,2025-01-01
2015-01-29,413.6199951171875,414.4682298344739,410.169164299187,413.5236026690129,15369424,INFY.NS,2015-01-01,2025-01-01
2015-01-30,412.92596435546875,416.9070008370577,410.0438394728079,416.7045672758537,10833744,INFY.NS,2015-01-01,2025-01-01
2015-02-02,411.9524230957031,414.87309543814604,409.8703368093614,412.84885403382424,8702540,INFY.NS,2015-01-01,2025-01-01
2015-02-03,408.87744140625,412.55000285759445,405.2338259274616,411.9523979575224,5265956,INFY.NS,2015-01-01,2025-01-01
2015-02-04,413.109130859375,414.48752403124763,409.9377816849989,412.54037776612535,5160016,INFY.NS,2015-01-01,2025-01-01
2015-02-05,422.9315185546875,427.98247346787514,414.101960814863,414.64176794247186,11875936,INFY.NS,2015-01-01,2025-01-01
2015-02-06,430.0068054199219,433.341994270041,421.9098380011204,425.09078948707815,7453728,INFY.NS,2015-01-01,2025-01-01
2015-02-09,433.55401611328125,434.5372380962307,424.1268517354514,424.1268517354514,6536868,INFY.NS,2015-01-01,2025-01-01
2015-02-10,439.2219543457031,443.01980838985173,432.0310664062914,432.41663630045144,8516920,INFY.NS,2015-01-01,2025-01-01
2015-02-11,440.484619140625,442.09434489439894,434.97095190424017,439.6459859579478,5796972,INFY.NS,2015-01-01,2025-01-01
2015-02-12,445.564453125,447.6368908077133,438.2000793309161,440.12792833809124,6287536,INFY.NS,2015-01-01,2025-01-01
2015-02-13,442.65350341796875,448.55269412685567,440.706356768323,443.32825068336206,5657516,INFY.NS,2015-01-01,2025-01-01
2015-02-16,439.3085632324219,444.73543899929666,436.70596724618485,439.6073892219441,6244276,INFY.NS,2015-01-01,2025-01-01
2015-02-18,442.73052978515625,444.3595528023489,435.33720992769315,441.5834690255133,8613764,INFY.NS,2015-01-01,2025-01-01
2015-02-19,448.1670227050781,449.95993158874353,441.8726148966064,442.2485360173855,9673624,INFY.NS,2015-01-01,2025-01-01
2015-02-20,440.1472473144531,450.34555023761766,438.95194321788273,448.89966341108425,6971628,INFY.NS,2015-01-01,2025-01-01
2015-02-23,436.7734680175781,445.1788610279236,433.39973242398645,443.4052494434745,5090488,INFY.NS,2015-01-01,2025-01-01
2015-02-24,438.1614685058594,442.62441948649433,435.2311478513345,439.35672530442116,6437676,INFY.NS,2015-01-01,2025-01-01
2015-02-25,446.7983093261719,450.1142002393014,439.54957815796877,441.2653449653558,6044972,INFY.NS,2015-01-01,2025-01-01
2015-02-26,435.3276062011719,445.1403388901154,432.879200291524,444.8511615370036,6445776,INFY.NS,2015-01-01,2025-01-01
2015-02-27,436.8024597167969,439.67493637719195,434.05527443555917,438.56642301809603,7801076,INFY.NS,2015-01-01,2025-01-01
2015-03-02,441.8052062988281,445.04400247480424,439.17371088082825,443.98368537988915,7040992,INFY.NS,2015-01-01,2025-01-01
2015-03-03,442.99078369140625,443.9739584023686,439.22182963282347,441.4774034598832,4905552,INFY.NS,2015-01-01,2025-01-01
2015-03-04,438.5181579589844,446.0849653530169,434.13230144397187,443.40527404522027,4375228,INFY.NS,2015-01-01,2025-01-01
2015-03-05,433.3033447265625,443.16427318580907,430.55615999882014,437.0530014854895,5684916,INFY.NS,2015-01-01,2025-01-01
2015-03-09,422.20849609375,435.50100290453815,420.0782139570556,435.50100290453815,7984720,INFY.NS,2015-01-01,2025-01-01
2015-03-10,423.7412109375,425.4666263821778,416.4539322914917,423.760508254184,6329916,INFY.NS,2015-01-01,2025-01-01
2015-03-11,420.6952209472656,431.83819815219715,418.16976686769186,422.9893896149262,6780912,INFY.NS,2015-01-01,2025-01-01
2015-03-12,427.65478515625,429.22596338243363,419.6927587757949,420.07832860471154,5688564,INFY.NS,2015-01-01,2025-01-01
2015-03-13,428.0595397949219,429.9102935174306,422.66156301533084,428.94636909250363,6179684,INFY.NS,2015-01-01,2025-01-01
2015-03-16,436.975830078125,439.9350968171941,426.1606265339414,426.1606265339414,6818632,INFY.NS,2015-01-01,2025-01-01
2015-03-17,431.93463134765625,439.45324354250494,427.4523817699579,436.9759383901132,5539312,INFY.NS,2015-01-01,2025-01-01
2015-03-18,429.81390380859375,436.24329859039716,428.4740582627482,434.6335259638819,4905564,INFY.NS,2015-01-01,2025-01-01
2015-03-19,429.99713134765625,433.5733011596092,428.5126968219303,430.79721703530697,6891740,INFY.NS,2015-01-01,2025-01-01
2015-03-20,435.2022399902344,437.409617564737,430.47901019095326,432.0309379668989,6430896,INFY.NS,2015-01-01,2025-01-01
2015-03-23,430.57537841796875,438.58559955055694,429.0427480438525,434.3443322142438,5078700,INFY.NS,2015-01-01,2025-01-01
2015-03-24,426.3341369628906,434.4214537113521,425.2834687223003,430.85493323475987,6736532,INFY.NS,2015-01-01,2025-01-01
2015-03-25,427.8089904785156,429.746441070495,424.2713687363536,428.54153544532073,6170968,INFY.NS,2015-01-01,2025-01-01
2015-03-26,413.7839660644531,426.99933576928873,411.017483407174,425.66913853801134,15740840,INFY.NS,2015-01-01,2025-01-01
2015-03-27,424.54132080078125,428.88863044733404,416.9938095107697,417.18659444350703,10074220,INFY.NS,2015-01-01,2025-01-01
2015-03-30,429.5247497558594,431.8381685157653,423.14355084980224,425.2063868973518,4623088,INFY.NS,2015-01-01,2025-01-01
2015-03-31,427.6644287109375,438.3253966999365,424.9654399407344,432.8021277932797,8016412,INFY.NS,2015-01-01,2025-01-01
2015-04-01,419.104736328125,424.03040008202595,415.97198161053785,423.91471031195636,6738488,INFY.NS,2015-01-01,2025-01-01
2015-04-06,419.92401123046875,421.1771129356311,416.49243099377696,420.0782485459667,7741752,INFY.NS,2015-01-01,2025-01-01
2015-04-07,416.3190002441406,420.81089792127176,412.1741248075817,419.30716625654355,8542268,INFY.NS,2015-01-01,2025-01-01
2015-04-08,424.2327880859375,425.07137409568617,418.93120374861417,420.753011498479,10185576,INFY.NS,2015-01-01,2025-01-01
2015-04-09,427.0185241699219,427.77036640163067,421.11928780846483,426.32447975094243,10581548,INFY.NS,2015-01-01,2025-01-01
2015-04-10,430.671875,431.4526633617693,426.0932330183905,426.0932330183905,7123776,INFY.NS,2015-01-01,2025-01-01
2015-04-13,431.6069030761719,432.60937528114397,427.230694655772,431.45266572156874,4872336,INFY.NS,2015-01-01,2025-01-01
2015-04-15,426.767822265625,432.8019976145088,423.1724035619767,431.163326354053,6237784,INFY.NS,2015-01-01,2025-01-01
2015-04-16,423.0953369140625,430.1030864409031,416.51175179541514,428.3680224436068,9007812,INFY.NS,2015-01-01,2025-01-01
2015-04-17,420.1264953613281,423.1532088926732,415.15263550389494,420.2807326954009,6450316,INFY.NS,2015-01-01,2025-01-01
2015-04-20,411.04638671875,420.2711648284506,407.76904277284007,419.5000250764718,12825384,INFY.NS,2015-01-01,2025-01-01
