Date,Close,High,Low,Open,Volume,Symbol,Start_Date,End_Date
,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,,,
2015-01-01,3032.035400390625,3049.506531561027,3013.429780183184,3013.429780183184,299232,MARUTI.NS,2015-01-01,2025-01-01
2015-01-02,3049.1435546875,3070.3811006268334,3040.8843859444887,3049.506502543943,233924,MARUTI.NS,2015-01-01,2025-01-01
2015-01-05,3129.192626953125,3148.7512593994493,3064.07296577666,3069.4730884850783,536747,MARUTI.NS,2015-01-01,2025-01-01
2015-01-06,3081.498779296875,3121.2058911720646,3069.926992407534,3121.2058911720646,422743,MARUTI.NS,2015-01-01,2025-01-01
2015-01-07,3120.0712890625,3139.312175974257,3069.518509350901,3085.8097252018033,369241,MARUTI.NS,2015-01-01,2025-01-01
2015-01-08,3154.33251953125,3185.236037387726,3125.74340304003,3144.8028140341767,422022,MARUTI.NS,2015-01-01,2025-01-01
2015-01-09,3147.70703125,3183.556875401103,3112.991675837856,3176.568469085082,194054,MARUTI.NS,2015-01-01,2025-01-01
2015-01-12,3142.897216796875,3161.7297326326334,3126.787474334961,3149.3412024135864,152803,MARUTI.NS,2015-01-01,2025-01-01
2015-01-13,3147.753173828125,3190.1830623530195,3142.171576589958,3161.86626127912,237771,MARUTI.NS,2015-01-01,2025-01-01
2015-01-14,3191.09033203125,3204.704198635479,3141.445142797134,3151.0202732914136,429069,MARUTI.NS,2015-01-01,2025-01-01
2015-01-15,3290.744140625,3302.4065543254187,3212.8727731628733,3222.266430496021,670686,MARUTI.NS,2015-01-01,2025-01-01
2015-01-16,3282.39404296875,3290.0177195351785,3260.112637269444,3281.1687063584973,379075,MARUTI.NS,2015-01-01,2025-01-01
2015-01-19,3291.152099609375,3305.9004544163113,3281.1231740246885,3292.468062337716,192537,MARUTI.NS,2015-01-01,2025-01-01
2015-01-20,3272.365234375,3300.0013398939477,3253.2603968233925,3283.664699597443,333315,MARUTI.NS,2015-01-01,2025-01-01
2015-01-21,3298.8212890625,3349.011120633493,3260.067193852441,3288.202517630121,402419,MARUTI.NS,2015-01-01,2025-01-01
2015-01-22,3264.832275390625,3310.8925264090626,3260.1582695842494,3310.8925264090626,318883,MARUTI.NS,2015-01-01,2025-01-01
2015-01-23,3273.40869140625,3303.4046208015507,3244.638098596207,3298.1859721115006,337571,MARUTI.NS,2015-01-01,2025-01-01
2015-01-27,3347.104736328125,3362.3523093350345,3253.849761745125,3308.1237474729005,1278436,MARUTI.NS,2015-01-01,2025-01-01
2015-01-28,3381.5029296875,3411.181114034272,3350.826306509121,3350.826306509121,672705,MARUTI.NS,2015-01-01,2025-01-01
2015-01-29,3347.92236328125,3398.9289428879183,3337.2127431238655,3398.9289428879183,603103,MARUTI.NS,2015-01-01,2025-01-01
2015-01-30,3310.30224609375,3395.2980577856915,3291.4243082728517,3358.0868253961667,284786,MARUTI.NS,2015-01-01,2025-01-01
2015-02-02,3330.359619140625,3380.776341515976,3285.479290278613,3310.3019917804654,319679,MARUTI.NS,2015-01-01,2025-01-01
2015-02-03,3274.45263671875,3365.3477966949513,3267.327957956263,3365.3477966949513,220676,MARUTI.NS,2015-01-01,2025-01-01
2015-02-04,3228.80078125,3298.1860769401014,3222.4022196411197,3285.479801464823,203545,MARUTI.NS,2015-01-01,2025-01-01
2015-02-05,3197.171142578125,3264.60520602324,3183.829597645128,3248.268566126543,379633,MARUTI.NS,2015-01-01,2025-01-01
2015-02-06,3178.9287109375,3206.973187608257,3167.4929743180464,3203.569720945308,198214,MARUTI.NS,2015-01-01,2025-01-01
2015-02-09,3096.065673828125,3174.027663458159,3085.8098497175024,3167.493051621789,286868,MARUTI.NS,2015-01-01,2025-01-01
2015-02-10,3080.22802734375,3156.601726900032,3049.505981134016,3079.456486305868,547537,MARUTI.NS,2015-01-01,2025-01-01
2015-02-11,3135.500244140625,3150.0671251071362,3091.25517954786,3091.25517954786,341769,MARUTI.NS,2015-01-01,2025-01-01
2015-02-12,3223.6728515625,3230.7975305772065,3147.526044256409,3147.526044256409,436882,MARUTI.NS,2015-01-01,2025-01-01
2015-02-13,3282.711669921875,3291.8330050292852,3204.9765788238074,3235.562355370665,321186,MARUTI.NS,2015-01-01,2025-01-01
2015-02-16,3242.006591796875,3312.707857157405,3232.38603651126,3285.480121345153,260901,MARUTI.NS,2015-01-01,2025-01-01
2015-02-18,3235.51708984375,3252.806745909046,3219.2712965695137,3244.6384253975557,161803,MARUTI.NS,2015-01-01,2025-01-01
2015-02-19,3262.926025390625,3280.9417971966627,3232.9755193581245,3244.6381535209043,214789,MARUTI.NS,2015-01-01,2025-01-01
2015-02-20,3219.543701171875,3280.034565441606,3214.6879996663442,3276.4042006763134,240749,MARUTI.NS,2015-01-01,2025-01-01
2015-02-23,3218.227294921875,3244.6382854014246,3206.383407955141,3231.932009598454,163132,MARUTI.NS,2015-01-01,2025-01-01
2015-02-24,3256.70947265625,3267.3282451369696,3224.8529336342135,3243.5948244327174,143983,MARUTI.NS,2015-01-01,2025-01-01
2015-02-25,3249.08544921875,3280.9419870192664,3234.7456864010674,3262.7901641311933,173339,MARUTI.NS,2015-01-01,2025-01-01
2015-02-26,3173.7099609375,3250.900405129953,3161.2757858611326,3237.649708292298,429598,MARUTI.NS,2015-01-01,2025-01-01
2015-02-27,3271.321044921875,3284.4359126695617,3173.7098061626352,3173.8458561862394,378654,MARUTI.NS,2015-01-01,2025-01-01
2015-03-02,3368.478759765625,3385.3146180668864,3296.597592888324,3310.9829996694207,386182,MARUTI.NS,2015-01-01,2025-01-01
2015-03-03,3365.9375,3389.262767533341,3348.6026436814996,3374.4235650529304,206296,MARUTI.NS,2015-01-01,2025-01-01
2015-03-04,3338.4833984375,3439.498343827539,3310.212021045581,3403.467017320153,340907,MARUTI.NS,2015-01-01,2025-01-01
2015-03-05,3338.80029296875,3368.296999600482,3304.856479199857,3337.212008765503,152837,MARUTI.NS,2015-01-01,2025-01-01
2015-03-09,3332.039306640625,3349.827959556452,3288.2026114461405,3296.6432531362366,218786,MARUTI.NS,2015-01-01,2025-01-01
2015-03-10,3309.757568359375,3348.103289141766,3303.8582267005454,3348.103289141766,182667,MARUTI.NS,2015-01-01,2025-01-01
2015-03-11,3318.56103515625,3332.6741193840962,3281.259178369213,3305.4918135160883,198508,MARUTI.NS,2015-01-01,2025-01-01
2015-03-12,3344.654296875,3376.1930840117593,3323.689077798176,3328.4991328170386,308505,MARUTI.NS,2015-01-01,2025-01-01
2015-03-13,3313.3427734375,3373.697581386826,3290.1085743026665,3362.625014319613,363024,MARUTI.NS,2015-01-01,2025-01-01
2015-03-16,3310.0302734375,3337.2125834523395,3301.6350554889186,3313.6152140833537,182829,MARUTI.NS,2015-01-01,2025-01-01
2015-03-17,3323.190185546875,3348.058092673485,3288.7017242758902,3326.321330477875,185250,MARUTI.NS,2015-01-01,2025-01-01
2015-03-18,3326.23046875,3338.120000559574,3305.7190432387915,3324.506134325644,177261,MARUTI.NS,2015-01-01,2025-01-01
2015-03-19,3317.24560546875,3353.549250945836,3310.89246751026,3331.7670636595844,252139,MARUTI.NS,2015-01-01,2025-01-01
2015-03-20,3288.973876953125,3333.400414018373,3276.403652424766,3303.631383608351,206403,MARUTI.NS,2015-01-01,2025-01-01
2015-03-23,3262.2451171875,3302.905239742037,3251.9440919209464,3290.062915269604,192986,MARUTI.NS,2015-01-01,2025-01-01
2015-03-24,3255.801513671875,3299.0935637132975,3237.422794369208,3290.0176529465484,227226,MARUTI.NS,2015-01-01,2025-01-01
2015-03-25,3280.71484375,3293.557168850423,3243.095237945371,3258.2519646068195,201854,MARUTI.NS,2015-01-01,2025-01-01
2015-03-26,3232.34033203125,3288.1571856008227,3211.0119408298688,3271.8659694033995,489101,MARUTI.NS,2015-01-01,2025-01-01
2015-03-27,3276.44921875,3285.2528078994965,3217.9550180299534,3240.1001517235177,204071,MARUTI.NS,2015-01-01,2025-01-01
2015-03-30,3322.646240234375,3334.490350711702,3267.736967992116,3293.6487432587824,152167,MARUTI.NS,2015-01-01,2025-01-01
2015-03-31,3355.681640625,3383.2268942656005,3321.6469784481055,3321.6469784481055,294635,MARUTI.NS,2015-01-01,2025-01-01
2015-04-01,3307.89697265625,3410.318708711929,3267.3276980547057,3358.0413769111174,694487,MARUTI.NS,2015-01-01,2025-01-01
2015-04-06,3293.6025390625,3331.6759397851024,3284.5720523144937,3309.0770109805594,262771,MARUTI.NS,2015-01-01,2025-01-01
2015-04-07,3267.237548828125,3312.707957645849,3247.361389714205,3303.6320454331208,306684,MARUTI.NS,2015-01-01,2025-01-01
