Date,Close,High,Low,Open,Volume,Symbol,Start_Date,End_Date
,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,,,
2015-01-01,267.9918212890625,271.47218680809004,267.23043388921366,270.83592387025857,60500,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-02,268.5666198730469,270.0512335243305,265.366198375691,265.366198375691,136860,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-05,268.71075439453125,270.19961355030784,266.80621181027254,270.19961355030784,213800,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-06,264.9737548828125,267.783915519748,263.8369684790758,267.0606895708905,263180,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-07,266.0830078125,267.6100542555177,265.00561199122643,265.7457957357948,713460,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-08,267.24951171875,269.139219873333,266.16999286133404,266.16999286133404,150480,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-09,270.8931884765625,274.8634629482192,266.10635586598505,270.199657740183,409840,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-12,274.1339111328125,276.5623044471539,270.8571413017261,272.3205513114613,951140,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-13,284.8188171386719,285.9364970633401,274.4413592941841,274.4413592941841,1102160,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-14,287.66937255859375,293.9535317070791,283.5591121835554,285.6821119837197,748060,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-15,288.8251953125,294.3776614420776,286.78703608030577,291.37449303591313,1195060,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-16,296.294921875,297.13478063623637,285.896258777416,286.82732661435625,997040,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-19,300.05950927734375,301.16447770311544,296.26738087462445,297.13481215638365,708280,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-20,300.08282470703125,301.5886418618945,296.9227135067878,300.0191880554374,568620,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-21,300.3161926269531,302.0128942802128,298.5388966095792,300.64493892811726,622080,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-22,301.03936767578125,304.13371953972063,299.1284556931392,300.1040537996546,1082980,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-23,307.88128662109375,309.2237921184694,303.20049771135456,303.20049771135456,917320,NESTLEIND.NS,2015-01-01,2025-01-01
2015-01-27,311.7709045410156,315.16218329820447,307.7794012880129,307.8791021391766,907000,NESTLEIND.NS,2015-01-01,2025-01-01
