Date,Close,High,Low,Open,Volume,Symbol,Start_Date,End_Date
,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,,,
2015-01-01,485.74090576171875,486.7154006923302,479.6989770750287,481.89162072735394,944551,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-02,498.75054931640625,504.2077815486617,484.57152653289063,484.57152653289063,4193093,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-05,510.44451904296875,512.5884078333596,493.7805359384094,497.0938486729165,6758676,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-06,488.6156921386719,501.2354915691843,486.5204979953884,501.2354915691843,7979598,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-07,481.2582092285156,487.6411812178342,476.72674758817453,482.37887842248495,9232656,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-08,498.9454040527344,501.6740199267719,488.2258696018615,491.14938446272674,5535587,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-09,508.9827880859375,511.5652296997431,502.3561624685019,507.95953835461114,4053562,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-12,508.9827880859375,511.3215759096564,498.214528972217,505.2796472481506,2560568,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-13,506.2054443359375,512.2960676474103,502.11253561145645,507.0824897643729,4328812,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-14,507.0824890136719,513.221867120529,500.84569147335964,508.2031882290182,6070608,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-15,519.3612670898438,522.3335067764843,510.3958533403692,514.8298354671033,6902556,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-16,512.3448486328125,522.1386132594854,509.0802604239216,517.5584267822649,4250137,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-19,524.7697143554688,525.8416587506218,509.8111273932141,513.0757153823562,4617341,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-20,544.9419555664062,546.696046447413,521.115344023584,525.0133838760537,6140342,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-21,537.4382934570312,544.2110634194333,532.078511113982,542.6518714990991,6521363,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-22,552.0558471679688,554.1997360942495,534.5635122271982,536.6099516568298,6010572,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-23,573.4461669921875,576.0773034247355,559.3646244278282,560.3391194028459,7764736,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-27,589.1356201171875,592.20530915829,580.8523532217006,580.8523532217006,7213518,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-28,574.1770629882812,583.9220727655166,572.0331139461067,583.72717377231,8297785,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-29,583.3374633789062,585.3839031148665,565.7964311225693,571.0587047293243,5874507,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-01-30,570.2303466796875,589.2818741713822,566.2836118817106,586.0659805630141,4180985,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-02-02,577.3928833007812,580.7062262271634,566.0399270282347,572.8126969472441,4363228,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-02-03,587.9175415039062,596.7855054988872,580.99856737224,582.4115549646937,6100343,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-02-04,576.3209228515625,591.1820605095251,573.2025391175055,591.1820605095251,3398715,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-02-05,574.1770629882812,587.5277041398404,567.1606391159395,575.9311539271415,6847443,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-02-06,545.331787109375,557.4155851503948,538.1204640377573,552.5918048722353,12221202,TATAMOTORS.NS,2015-01-01,2025-01-01
2015-02-09,528.8139038085938,540.3130640381402,527.4983056150378,535.9765316084124,4628548,TATAMOTORS.NS,2015-01-01,2025-01-01
