Date,Close,High,Low,Open,Volume,Symbol,Start_Date,End_Date
,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,,,
2015-01-01,362.7237243652344,365.3500810636662,360.81364676637486,364.156282564379,269753,TITAN.NS,2015-01-01,2025-01-01
2015-01-02,365.5888671875,371.0326003958994,362.72375058212623,362.72375058212623,623981,TITAN.NS,2015-01-01,2025-01-01
2015-01-05,368.5494689941406,372.0831242305773,365.58884286975734,366.7349010938642,551576,TITAN.NS,2015-01-01,2025-01-01
2015-01-06,355.9429931640625,366.1618914323807,352.60035716923943,365.01586229286795,519159,TITAN.NS,2015-01-01,2025-01-01
2015-01-07,357.757568359375,360.43166555085133,353.3643837058294,356.13399061388856,397373,TITAN.NS,2015-01-01,2025-01-01
2015-01-08,356.13397216796875,362.914753657506,352.170566871593,362.914753657506,672501,TITAN.NS,2015-01-01,2025-01-01
2015-01-09,356.13397216796875,359.9541274696267,352.791336279018,359.09459835584806,985975,TITAN.NS,2015-01-01,2025-01-01
2015-01-12,359.8586120605469,361.4821896962351,353.9373889240077,356.46823594219217,344364,TITAN.NS,2015-01-01,2025-01-01
2015-01-13,355.4654541015625,366.7349003177206,354.12837646111046,358.9513399030924,715002,TITAN.NS,2015-01-01,2025-01-01
2015-01-14,354.8924255371094,360.0018889696425,352.40931881662425,356.2772143161792,404068,TITAN.NS,2015-01-01,2025-01-01
2015-01-15,358.9991149902344,361.95974139538646,353.0778913254043,356.8980469074137,648144,TITAN.NS,2015-01-01,2025-01-01
2015-01-16,369.7910461425781,376.28529851975566,360.0018981480921,362.91475491753084,1387070,TITAN.NS,2015-01-01,2025-01-01
2015-01-19,376.7627868652344,377.7178256152096,371.7010931485534,371.7010931485534,913385,TITAN.NS,2015-01-01,2025-01-01
2015-01-20,375.90325927734375,380.9649530136572,372.8948930323473,379.1503852107601,603286,TITAN.NS,2015-01-01,2025-01-01
2015-01-21,388.6531066894531,390.1811456707753,372.89496424439636,376.85836999996707,1885665,TITAN.NS,2015-01-01,2025-01-01
2015-01-22,381.77679443359375,390.8019235586938,375.42579167486264,388.70082635265203,785747,TITAN.NS,2015-01-01,2025-01-01
2015-01-23,380.91729736328125,387.22056036706783,376.2853525497538,385.0239532582987,709214,TITAN.NS,2015-01-01,2025-01-01
2015-01-27,382.6363525390625,388.7008557490083,375.5690700818121,381.06054408809416,1306898,TITAN.NS,2015-01-01,2025-01-01
2015-01-28,413.7705993652344,418.1160146594091,385.83571181432126,390.99291599462583,6282139,TITAN.NS,2015-01-01,2025-01-01
