Date,Close,High,Low,Open,Volume,Symbol,Start_Date,End_Date
,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,,,
2015-01-01,2548.029052734375,2563.7238612353635,2537.2148357535752,2563.7238612353635,54097,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-02,2624.20654296875,2634.159313037221,2552.574542306459,2554.727806050086,228660,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-05,2629.565673828125,2656.074696670016,2608.7986877163507,2629.8528223934454,181680,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-06,2555.780029296875,2621.2391388690767,2537.0226203511947,2619.99498448035,292468,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-07,2545.68408203125,2577.1694887564972,2499.9391444592366,2559.991276266995,120023,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-08,2610.185791015625,2614.8273632585706,2545.922935929894,2559.99087644736,249884,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-09,2612.00439453125,2641.336534692593,2594.443241141891,2641.336534692593,334880,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-12,2584.20361328125,2617.4116781546177,2574.3464037425674,2610.4254869100714,148064,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-13,2697.32177734375,2728.6637281005383,2598.319539926313,2617.4117654905644,517233,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-14,2783.78759765625,2793.3097626835465,2707.3705585980283,2707.3705585980283,537834,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-15,2950.49755859375,2968.9199251150194,2773.7862507110867,2794.457674914653,699207,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-16,2938.104248046875,3004.950977733761,2914.8010582196766,2966.9099887936864,369250,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-19,2955.712890625,3004.9508002577463,2934.6587596249187,2965.7614531477657,147140,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-20,2963.321044921875,2993.4667325276805,2952.4112704840536,2966.718462793558,303336,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-21,2923.461669921875,2981.934590222925,2910.542090272436,2975.331342970819,295819,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-22,2988.20361328125,3009.0663927321943,2927.4816237156024,2930.352641980116,368715,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-23,3012.559326171875,3048.7820995218012,2995.4290109089657,3031.7952417123333,414381,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-27,2987.24658203125,3062.323662287085,2971.9344847494867,3062.323662287085,426957,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-28,3004.759765625,3052.8014229281575,2990.6439262928975,2995.428956574966,241081,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-29,3026.770751953125,3038.4940755517105,2979.255497111171,3000.213835229799,353459,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-01-30,3005.333740234375,3048.0639626105335,2963.8474386828325,3026.3878712163005,170802,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-02,2954.32568359375,3032.895743043408,2908.3414944469782,3014.377815471522,258417,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-03,2973.944091796875,3050.9351790564892,2928.4384090065423,2938.008469166695,407784,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-04,2963.752197265625,2991.983878164697,2936.1906075743336,2991.0268720325253,220090,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-05,2932.3623046875,2976.1929944650315,2910.255371675227,2976.1929944650315,130329,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-06,2879.00927734375,2918.868486330609,2866.233152970549,2899.7283651087687,129840,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-09,2835.36962890625,2861.448043348135,2814.55474765447,2833.7427653763,127620,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-10,2838.67138671875,2895.8524999776305,2814.6506743060595,2824.220735102525,187835,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-11,2878.67431640625,2890.110492443745,2847.0931154616337,2847.0931154616337,170700,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-12,2904.609130859375,2961.9336993042825,2871.49662835622,2877.7171676277794,187078,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-13,2978.68115234375,3009.5445956089984,2936.0943856676704,2939.061197702722,193738,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-16,2946.43017578125,3014.5689575533283,2938.1519335367784,2988.729795060014,177606,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-18,2976.2890625,2993.0366697648715,2949.492890876206,2949.7800394438473,202114,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-19,2930.639404296875,2994.375861182601,2878.769727882884,2978.7768509165066,165743,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-20,2884.511962890625,2990.7396320147627,2876.425075037557,2984.901801785456,201227,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-23,2850.0595703125,2912.169164255538,2842.307728504419,2897.814074717637,200058,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-24,2860.1083984375,2878.865576988135,2837.522962010753,2852.835058938973,118101,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-25,2912.02587890625,2928.438438790216,2863.553383515662,2866.4244015929075,284765,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-26,2849.437255859375,2933.2231716511683,2825.5121076403602,2913.1260471471965,218727,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-02-27,2991.408935546875,3001.8402058643433,2865.2755176662977,2871.974558622765,251642,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-03-02,3224.9189453125,3233.7233540015104,3009.783944461305,3023.1820287927703,446753,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-03-03,3216.35400390625,3229.895546592114,3167.6901508799697,3229.895546592114,247539,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-03-04,3167.977294921875,3251.906681980493,3150.942539853082,3224.1535054715364,278837,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-03-05,3052.4189453125,3186.8304093943257,3016.818364044477,3172.475317460117,490549,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-03-09,2934.32421875,3052.849520063381,2921.8831392011525,3042.3224527528178,318482,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-03-10,2887.478271484375,2975.2356693333727,2876.759851699861,2938.0082317759725,539122,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-03-11,2858.672607421875,2913.7481137136524,2847.0927418043175,2887.4783467407688,309685,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-03-12,2879.96630859375,2899.6804934382358,2865.4196294226763,2869.1041962477298,483570,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-03-13,2820.201416015625,2909.298784756425,2808.3825298890038,2909.298784756425,254015,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-03-16,2788.14111328125,2847.092774781397,2765.7472669305002,2842.307744907815,214421,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-03-17,2802.49658203125,2837.3317444099443,2766.8004412604864,2820.2969890266772,290837,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-03-18,2809.482666015625,2838.862705563086,2784.36125674031,2823.167899511561,292204,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-03-19,2768.618408203125,2864.606158472471,2750.435293873412,2826.995775261677,354477,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-03-20,2732.300048828125,2765.7473620661717,2713.686328708426,2763.8333500509007,284773,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-03-23,2707.370361328125,2754.7900621410013,2703.5423367804715,2737.0375515724418,213023,ULTRACEMCO.NS,2015-01-01,2025-01-01
2015-03-24,2681.05224609375,2723.6390120945252,2670.668637779766,2715.0259582966155,389917,ULTRACEMCO.NS,2015-01-01,2025-01-01
