Stock_Symbol,RMSE
WIPRO,2.8135959001733903
BAJFINANCE,4.939670739542878
HDFCLIFE,5.407174636794815
KOTAKBANK,9.871472230039272
INDUSINDBK,13.28992848449114
ASIANPAINT,19.53843973236955
TATASTEEL,22.514734447202954
NESTLEIND,22.825729388502655
ITC,22.990341816851863
BAJAJFINSV,28.441711079791634
HDFCBANK,31.300503108080797
TATACONSUM,42.301791034452
LTIM,45.763644063505346
ONGC,53.335213327527825
TECHM,56.59775332072755
HINDALCO,59.65901139356183
AXISBANK,68.48338696710606
NTPC,68.57470098920604
BPCL,69.84912276657255
TITAN,71.6303242539834
POWERGRID,75.22902323160163
JSWSTEEL,80.05970515167569
COALINDIA,82.92802637769
INFY,84.14837915981177
HINDUNILVR,84.2986751792278
RELIANCE,97.07517847914305
LT,101.28123180393818
DRREDDY,124.18516934541552
TATAMOTORS,154.35300584085053
SBIN,172.72047861711889
SBILIFE,191.84719132416996
CIPLA,192.2810465838297
ICICIBANK,196.8245607088132
HCLTECH,204.26760900702897
ADANIPORTS,209.49815749588535
TCS,352.39284807564087
SUNPHARMA,358.70043995575975
BHARTIARTL,381.50133582937343
GRASIM,444.4104404310395
DIVISLAB,445.3278095984891
BRITANNIA,466.7624936133693
EICHERMOT,637.536979074083
APOLLOHOSP,728.5078694088357
HEROMOTOCO,881.9795937971434
M&M,970.5643937806719
ULTRACEMCO,1068.0784047317236
MARUTI,1543.2800507087554
BAJAJ-AUTO,2253.215601949926
