Fiscal Year,Q1 (Apr-Jun),Q2 (Jul-Sep),Q3 (Oct-Dec),Q4 (Jan-Mar)
FY 2014-15,-,"Jan 1, 2015","Jan 21, 2015","May 07, 2015"
FY 2015-16,"Jul 21, 2015","Oct 20, 2015","Jan 20, 2016","May 10, 2016"
FY 2016-17,"Jul 20, 2016","Oct 19, 2016","Jan 19, 2017","May 09, 2017"
FY 2017-18,"Jul 25, 2017","Oct 24, 2017","Jan 18, 2018","May 09, 2018"
FY 2018-19,"Jul 18, 2018","Oct 23, 2018","Jan 22, 2019","May 14, 2019"
FY 2019-20,"Jul 23, 2019","Oct 22, 2019","Jan 21, 2020","May 13, 2020"
FY 2020-21,"Jul 28, 2020","Oct 22, 2020","Jan 21, 2021","May 12, 2021"
FY 2021-22,"Jul 21, 2021","Oct 21, 2021","Jan 19, 2022","May 10, 2022"
FY 2022-23,"Jul 20, 2022","Oct 20, 2022","Jan 17, 2023","May 11, 2023"
FY 2023-24,"Jul 25, 2023","Oct 26, 2023","Jan 17, 2024","May 09, 2024"
FY 2024-25,"Jul 23, 2024","Oct 29, 2024",-,-
