date,Open,High,Low,Close,Volume,sentiment_mean,sentiment_std,sentiment_max,sentiment_min,news_count,magnitude_mean,magnitude_sum,sentiment_weighted_mean,sentiment_mean_roll_avg_3d,sentiment_weighted_mean_roll_avg_3d,news_count_roll_sum_3d,sentiment_std_roll_max_3d,sentiment_mean_roll_avg_7d,sentiment_weighted_mean_roll_avg_7d,news_count_roll_sum_7d,sentiment_std_roll_max_7d,sentiment_mean_roll_avg_14d,sentiment_weighted_mean_roll_avg_14d,news_count_roll_sum_14d,sentiment_std_roll_max_14d,Policy_Repo_Rate,10Y_Bond_Yield,Call_Money_Rate,CPI_Index,IIP_Index,GDP_Growth_QoQ,USD_INR_Exchange_Rate,Trade_Exports_USD,Trade_Imports_USD,FX_Reserves,Crude_Oil_Brent,Crude_Oil_WTI,Net_Sales_Income_from_operations,Basic_EPS,Net_Profit_Loss_For_the_Period,P_L_Before_Other_Inc_Int_Excpt_Items__Tax,Interest,Increase_Decrease_in_Stocks
01-01-2015,688.9909176,692.1097913,685.2299723,687.2022095,284935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,7.79,8.85,97.1629,98.09304,33146668.1,63.27,24728740000,32994640000,310606.5163,55.38,52.72,3346,3.41,327,539,71,-46
02-01-2015,689.128325,716.8310656,689.128325,710.9602661,2080850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,7.79,8.85,97.1629,98.09304,33146668.1,63.27,24728740000,32994640000,310606.5163,55.38,52.72,3346,3.41,327,539,71,-46
05-01-2015,715.4092649,722.7477364,708.8046293,710.9144287,1326999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,7.79,8.85,97.1629,98.09304,33146668.1,63.34,24728740000,32994640000,310606.5163,51.08,50.05,3346,3.41,327,539,71,-46
06-01-2015,710.9144918,718.252964,688.3487123,693.9442749,1510720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,7.79,8.85,97.1629,98.09304,33146668.1,63.57,24728740000,32994640000,310606.5163,50.12,47.98,3346,3.41,327,539,71,-46
07-01-2015,700.2735552,713.9872769,696.4667014,707.887207,1427667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,7.79,8.85,97.1629,98.09304,33146668.1,63.27,24728740000,32994640000,310606.5163,49.06,48.69,3346,3.41,327,539,71,-46
08-01-2015,718.9867721,754.853587,713.7580996,752.5144043,2769416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,7.79,8.85,97.1629,98.09304,33146668.1,62.67,24728740000,32994640000,310606.5163,49.43,48.8,3346,3.41,327,539,71,-46
09-01-2015,759.9445646,760.4490733,737.5622052,745.3134766,1708427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,7.79,8.85,97.1629,98.09304,33146668.1,62.34,24728740000,32994640000,310606.5163,47.64,48.35,3346,3.41,327,539,71,-46
12-01-2015,745.818025,750.7256615,734.0306275,740.9562988,1320557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,7.79,8.85,97.1629,98.09304,33146668.1,62.09,24728740000,32994640000,310606.5163,46.9,46.06,3346,3.41,327,539,71,-46
13-01-2015,745.7722014,772.7869621,744.946601,764.8980713,3835281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,7.79,8.85,97.1629,98.09304,33146668.1,61.97,24728740000,32994640000,310606.5163,45.13,45.92,3346,3.41,327,539,71,-46
14-01-2015,770.539446,779.7125347,761.5498304,772.9703369,2320114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,7.79,8.85,97.1629,98.09304,33146668.1,62.09,24728740000,32994640000,310606.5163,45.82,48.49,3346,3.41,327,539,71,-46
15-01-2015,778.795291,779.7125999,764.1183479,769.9432373,1308063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,7.79,8.85,97.1629,98.09304,33146668.1,62.06,24728740000,32994640000,310606.5163,47.66,46.37,3346,3.41,327,539,71,-46
16-01-2015,775.0343939,787.9684284,770.5395574,773.7042847,1568660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,7.79,8.85,97.1629,98.09304,33146668.1,61.87,24728740000,32994640000,310606.5163,47.38,48.49,3346,3.41,327,539,71,-46
19-01-2015,776.0433474,777.8779652,760.9536044,763.109314,1041563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,7.79,8.85,97.1629,98.09304,33146668.1,61.87,24728740000,32994640000,310606.5163,47.38,48.49,3346,3.41,327,539,71,-46
20-01-2015,765.9529554,776.9606625,765.9529554,769.8056641,1314139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,7.79,8.85,97.1629,98.09304,33146668.1,61.64,24728740000,32994640000,310606.5163,46.49,46.79,3346,3.41,327,539,71,-46
21-01-2015,775.1260552,785.1247451,769.8056745,780.9050903,1663391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,7.79,8.85,97.1629,98.09304,33146668.1,61.55,24728740000,32994640000,310606.5163,46.5,47.85,3865,4.26,408,596,15,-50
