"Date","Headline"
"2024-01-15","Stock recovers past Rs 3,000 for first time since Hindenburg report; market cap at Rs 2.2 lakh crore"
"2024-02-12","Q3 FY24 Results: Strong recovery trajectory; operational performance across all segments normalizing"
"2024-03-30","FY24 Full Year Results: Revenue Rs 82,435 crore; EBITDA Rs 6,157 crore; PAT Rs 4,054 crore - significant recovery"
"2024-04-28","Adani Ports handles record 420 MMT monthly cargo volume - highest in company history"
"2024-05-01","Adani Enterprise Q4 FY24 profit: Exceptional performance; stock continues rallying post-Hindenburg"
"2024-05-23","Adani Enterprises stock erases ALL Hindenburg-induced losses; trades above pre-report levels for first time"
"2024-08-10","Hindenburg releases second bombshell: Alleges SEBI chair Madhabi Buch has conflict of interest via offshore Adani funds"
"2024-08-12","Stock falls 1.1% on SEBI conflict allegation; Adani market cap drops $2.43 billion in single day"
"2024-08-12","SEBI chair Madhabi Buch dismisses Hindenburg allegations as 'character assassination'; reiterates thorough investigation"
"2024-08-20","Adani Enterprises maiden NCD issuance: Rs 800 crore (September 4-17, 2024) with 9.25%-9.90% yield"
"2024-09-18","SEBI dismisses Hindenburg allegations against Adani Group; clears company of stock manipulation and fraud charges"
"2024-09-19","Post-SEBI clearance: All 9 Adani group stocks rally sharply; Enterprises up 6%, Power up 12.7%"
"2024-09-19","SEBI 'clean chit' creates path for fresh re-rating; questions about governance concerns addressed"
"2024-09-30","Hindenburg Research shuts down operations; ends short-selling investigations - seen as validation of Adani Group"
"2024-10-24","Washington Post investigation reveals $3.9 billion LIC bailout plan for Adani; government allegedly coordinated support"
"2024-10-24","Report shows LIC invested $570 million in Adani Ports bonds (May 2025) - highest single insurer commitment"
"2024-10-25","LIC denies government-directed Adani investment; says all investments made independently with due diligence"
"2024-10-25","Congress demands PAC (Public Accounts Committee) probe into alleged $3.9B LIC-Adani connection"
"2024-11-19","US Department of Justice unseals bombshell 5-count indictment: Gautam & Sagar Adani charged with $265M bribery scheme"
"2024-11-20","Indictment alleges Adani paid bribes to Indian officials 2020-2024 for 12 GW solar contracts worth $2B+ in profits"
"2024-11-20","Federal arrest warrants issued for Gautam and Sagar Adani; SEC files parallel civil securities fraud charges"
"2024-11-20","Charges: Adani deceived US investors by concealing $265M bribery while raising $3B+ in bonds and loans"
"2024-11-21","Post-indictment crash: Adani stocks plunge 10-28%; market cap loss ~$28-30 billion; group responds 'charges are baseless'"
"2024-11-21","Adani Green Energy cancels $600 million green bond issuance in wake of indictment"
"2024-11-21","Kenya President cancels $2 billion Adani airport project amid US bribery allegations"
"2024-11-25","Gautam Adani breaks silence: Denies charges; says group 'committed to world-class regulatory compliance'"
"2024-12-15","SEBI still investigating 13+ 'suspicious transactions' against Adani; over a dozen cases awaiting final decisions"
"2024-12-30","Year-end 2024: Stock at Rs 2,528; down 34% from pre-indictment levels but 180%+ from March 2023 Hindenburg lows"
"2024-12-31","2024 summary: SEBI clearance → Hindenburg shutdown → US indictment → $30B market loss in 10 days"
